p: 359.196085988, r: 89.2960763784, y: 190.727271535
p: 358.975164693, r: 88.3085881188, y: 190.95527691
p: 358.730103268, r: 87.8158651023, y: 191.051760163
p: 358.324075309, r: 88.1655502972, y: 191.008648008
p: 358.08303804, r: 88.5824035724, y: 191.048167483
p: 357.866127027, r: 88.9773660914, y: 191.19283089
p: 357.764468626, r: 89.5383090373, y: 191.299518444
p: 357.803027392, r: 90.1030154175, y: 191.334816862
p: 357.829654457, r: 90.4638884623, y: 191.291977916
p: 357.834223, r: 90.775543164, y: 191.23112093
p: 357.805597464, r: 91.0306370691, y: 191.149349905
p: 357.759814492, r: 91.2429671598, y: 191.049670125
p: 357.716661997, r: 91.4725024971, y: 190.962011477
p: 357.579942528, r: 91.6790679081, y: 190.785983842
p: 357.412722421, r: 91.9069708302, y: 190.350067508
p: 357.210036344, r: 92.1015151083, y: 189.82586415
p: 356.891112827, r: 92.3197328221, y: 189.377216344
p: 356.701667926, r: 92.5777295576, y: 189.147093611
p: 356.603924077, r: 92.8071419515, y: 189.193921388
p: 356.586729076, r: 92.9612105286, y: 189.252073618
p: 356.878538236, r: 93.1215150684, y: 189.183116028
p: 357.35166608, r: 93.2940183261, y: 189.252292184
p: 357.822018946, r: 93.2492600964, y: 189.260338147
p: 358.18411182, r: 92.9510881882, y: 189.144771346
p: 358.528409276, r: 92.4715269462, y: 189.291606753
p: 358.946519306, r: 91.2084883649, y: 189.39692827
p: 359.077710058, r: 89.9870524658, y: 189.985991105
p: 359.269926522, r: 89.3899641588, y: 190.284511353
p: 359.444822854, r: 89.037362473, y: 190.536968805
p: 359.461715993, r: 89.4959345437, y: 190.664775305
p: 359.214031456, r: 91.8499045997, y: 190.333483809
p: 359.186623508, r: 94.2552923197, y: 190.23674101
p: 359.409021084, r: 95.8865259086, y: 190.589547601
p: 359.74706873, r: 96.1188001517, y: 190.90038951
p: 359.989561763, r: 95.3697742865, y: 191.202898588
p: 0.295101337979, r: 93.533361815, y: 191.599937485
p: 0.304540365927, r: 90.8422194707, y: 192.211198434
p: 0.0819302802088, r: 88.2839994378, y: 192.919967165
p: 0.0423130252433, r: 86.2341435546, y: 193.476572941
p: 359.868105085, r: 85.9070116443, y: 193.681656201
p: 359.355707509, r: 87.3283398597, y: 193.367057687
p: 358.844174578, r: 89.2785227923, y: 193.046981362
p: 358.785335273, r: 90.9993206518, y: 192.78944225
p: 359.242186349, r: 91.8019839924, y: 192.668042467
p: 359.617159066, r: 91.531713407, y: 192.618933407
p: 359.921419501, r: 89.6975890488, y: 192.689011148
p: 0.0489225172608, r: 87.3299108032, y: 193.002926642
p: 0.124630555167, r: 85.0041904097, y: 193.389078217
p: 0.177228748067, r: 83.3336968934, y: 193.468117166
p: 0.141478550776, r: 83.6681302759, y: 193.028334946
p: 0.216893177362, r: 84.9555594628, y: 192.463915434
p: 0.404825685633, r: 87.0886890123, y: 192.147868921
p: 0.78670668477, r: 89.3668507986, y: 192.012863401
p: 1.32834234014, r: 90.8380120741, y: 191.705272662
p: 1.71174166898, r: 90.2136371613, y: 191.749737194
p: 1.99098541546, r: 88.4716793758, y: 191.827628671
p: 2.09850091729, r: 86.2525577446, y: 191.990228154
p: 2.03219557526, r: 84.103281628, y: 192.24823172
p: 1.84614869279, r: 82.3552244835, y: 192.444066904
p: 1.12316249698, r: 82.3903794671, y: 192.544579968
p: 0.100188683201, r: 83.1849558639, y: 192.268175873
p: 359.186021117, r: 85.1678554026, y: 192.187989452
p: 358.781025317, r: 87.4676893791, y: 191.919371772
p: 358.871859042, r: 89.1296451589, y: 191.397640942
p: 359.169934794, r: 90.4132221191, y: 190.823631844
p: 359.602085345, r: 91.0427265039, y: 190.370995208
p: 0.0837620515669, r: 90.7374375386, y: 190.268610672
p: 0.718960759796, r: 89.5247101307, y: 190.304551128
p: 1.2372231343, r: 87.6244832017, y: 190.477628121
p: 1.64411212403, r: 85.9104882106, y: 190.447370383
p: 1.78556256698, r: 85.2735115988, y: 190.297010599
p: 1.3733529666, r: 86.0797129775, y: 190.126870587
p: 0.694729649859, r: 87.5358000255, y: 189.987534728
p: 0.0493417201211, r: 89.806312, y: 189.976387859
p: 359.839897164, r: 91.6699905867, y: 189.879931927
p: 359.878701723, r: 93.1417802397, y: 189.490419899
p: 0.124543897142, r: 94.3423362504, y: 189.210341162
p: 0.69330886379, r: 94.3719587809, y: 189.021267866
p: 1.3396540939, r: 93.6577600503, y: 188.917216764
p: 1.77018258179, r: 91.6196384322, y: 189.338830681
p: 2.04918545738, r: 89.152683387, y: 189.878893739
p: 2.28226395526, r: 86.8623502036, y: 190.311435958
p: 2.52625581477, r: 85.4421967808, y: 190.629818396
p: 2.51922413502, r: 85.2849180147, y: 190.82635026
p: 2.11034724008, r: 85.8631413393, y: 191.039957596
p: 1.47313061116, r: 87.962085792, y: 191.254616781
p: 1.02750463043, r: 90.5473806948, y: 191.396438829
p: 0.862132623857, r: 92.8601783704, y: 191.26650131
p: 0.809748434657, r: 94.5668513987, y: 190.985684912
p: 0.953942319133, r: 95.7285709538, y: 190.515713256
p: 1.23178331551, r: 96.4580693081, y: 190.142853229
p: 1.613683738, r: 95.9993333129, y: 189.901310419
p: 1.5688258303, r: 94.6449887628, y: 190.090069527
p: 1.27388225368, r: 92.877711466, y: 190.677902928
p: 0.22665187684, r: 90.8050086001, y: 191.374759808
p: 358.411506427, r: 88.3819101995, y: 192.179301451
p: 355.68833423, r: 87.1879794722, y: 193.217066733
p: 352.783672915, r: 86.5334151233, y: 194.393307271
p: 350.648980106, r: 86.3464523552, y: 195.263650956
p: 349.170981812, r: 86.2785056333, y: 195.86570481
p: 348.664367898, r: 86.3652148848, y: 196.003538028
p: 348.878035852, r: 86.8158366153, y: 195.424556552
p: 350.575156861, r: 87.3067428015, y: 193.981392222
p: 353.011150231, r: 87.5400142522, y: 192.488271888
p: 356.084615403, r: 87.4405598677, y: 191.407599358
p: 359.016682425, r: 87.0642096143, y: 190.896332378
p: 1.99732767299, r: 86.3829665465, y: 190.60322164
p: 3.777671762, r: 85.7913287304, y: 190.626512585
p: 5.05940030221, r: 85.4677894996, y: 190.996039479
p: 6.16980379237, r: 85.6715408727, y: 191.156207415
p: 6.72999584442, r: 86.1279955848, y: 190.861184224
p: 6.50672122932, r: 86.8157136719, y: 190.714362478
p: 5.80893373578, r: 87.451255944, y: 190.635910925
p: 4.43528877859, r: 87.8931008814, y: 190.730372441
p: 2.80814839399, r: 88.407994692, y: 190.988881441
p: 0.508374661823, r: 88.1573882211, y: 191.582342918
p: 357.69763181, r: 87.2996257444, y: 192.592459594
p: 355.585285032, r: 85.7916975606, y: 193.43287339
p: 354.690266008, r: 83.5514160034, y: 194.137106875
p: 354.981851479, r: 81.7582727802, y: 194.399645686
p: 355.610085876, r: 81.1815316067, y: 194.105933891
p: 356.353787181, r: 81.7279672309, y: 193.467734676
p: 356.752445686, r: 83.6036054788, y: 192.136694731
p: 357.039412669, r: 87.3026856692, y: 190.568374015
p: 357.286331905, r: 91.3898640383, y: 189.282563583
p: 357.494689601, r: 94.4933380726, y: 188.479620204
p: 357.570733298, r: 96.4039127382, y: 187.49123719
p: 357.978921411, r: 98.5609821007, y: 186.172956038
p: 358.873765625, r: 99.3075900789, y: 186.059697842
p: 359.628130938, r: 98.9639769221, y: 186.720040531
p: 0.186037184137, r: 96.6317200376, y: 188.061093533
p: 0.673905470297, r: 93.300226968, y: 189.791043846
p: 0.841065545692, r: 89.3942466874, y: 191.666777716
p: 0.557801325752, r: 86.5978101468, y: 192.852922028
p: 0.294653106814, r: 84.9997098056, y: 193.117714802
p: 0.225513796569, r: 85.1256175127, y: 192.874696671
p: 0.0253643343697, r: 86.8136372944, y: 192.472289246
p: 359.682491053, r: 89.442761521, y: 191.765610553
p: 359.376537825, r: 92.8420715389, y: 190.977051553
p: 359.441028951, r: 95.2033020859, y: 190.538430465
p: 359.864884224, r: 95.8750033794, y: 190.183479194
p: 0.427278385064, r: 95.8686376431, y: 190.035892467
p: 1.12814223849, r: 93.4328897323, y: 190.360449396
p: 1.64264640812, r: 90.1792334985, y: 191.113368469
p: 1.49017161297, r: 86.6555593962, y: 191.665630244
p: 1.2595362951, r: 83.7392530358, y: 192.086547482
p: 1.45252702536, r: 82.9013390888, y: 191.991239022
p: 1.75961553209, r: 83.6765040879, y: 191.300488331
p: 2.03182653161, r: 87.0997402584, y: 190.402578003
p: 2.39492963317, r: 90.7951184861, y: 189.839838717
p: 2.96127333778, r: 93.0836280091, y: 189.466855747
p: 3.28048073453, r: 93.9323678059, y: 189.300294754
p: 3.21274745608, r: 92.4106972815, y: 189.415082913
p: 2.04019756876, r: 89.651307687, y: 189.780115543
p: 0.876369192686, r: 87.2945987252, y: 190.418587966
p: 359.884282001, r: 85.416317194, y: 191.025245368
p: 358.818622307, r: 84.5940785311, y: 191.204879343
p: 357.503579946, r: 84.9973328997, y: 191.267621461
p: 356.225907257, r: 85.9497549682, y: 191.049260313
p: 355.642230453, r: 87.0684989731, y: 190.227506594
p: 355.852794513, r: 87.9215281287, y: 189.563202395
p: 355.974850848, r: 88.0157779091, y: 188.953717295
p: 356.092635752, r: 87.904855637, y: 188.597768816
p: 356.233605307, r: 87.7867753266, y: 188.416850766
p: 357.056557084, r: 87.6715705259, y: 188.543181945
p: 358.775092871, r: 87.7768783825, y: 188.911096914
p: 0.660025618769, r: 88.1355316158, y: 189.485338239
p: 2.00953087316, r: 88.845024346, y: 189.713657802
p: 1.72756326859, r: 89.6111530048, y: 189.6334304
p: 1.74279512405, r: 91.0785645065, y: 189.843363095
p: 1.83314230507, r: 92.5403957436, y: 189.965705443
